geneName	AL3.1,AL3.2	ALP.1,ALP.2	AWP.1,AWP.2	EL3.1,EL3.2	ELP.1,ELP.2	EWP.1,EWP.2	LL3.1,LL3.2	LLP.1,LLP.2	LWP.1,LWP.2	WL3.1,WL3.2	WLP.1,WLP.2	WWP.1,WWP.2
FBgn0000152	843.37.00	52.12.00	19.34	263.52.00	820.23.00	123.55.00	49.17.00	549.58.00	12.25	19.28	229.45.00	1207.38.00
FBgn0000153	365.28.00	85.38.00	120.49.00	3721.36.00	1341.37.00	211.37.00	8725.05.00	90.28.00	876.29.00	1391.29.00	1096.37.00	1119.36.00
FBgn0000157	43.32.00	72.22.00	48.56.00	670.02.00	1224.53.00	957.04.00	118.54.00	48.29.00	51.18.00	135.47.00	10.45	171.32.00
FBgn0000158	1588.14.00	6902.15.00	141.47.00	374.53.00	3975.37.00	365.32.00	880.04.00	3039.17.00	120.59.00	11905.46.00	3303.36.00	1274.35.00
FBgn0000163	756.34.00	122.48.00	1428.16.00	167.48.00	168.29.00	380.23.00	408.42.00	501.35.00	34.53.00	45.24.00	1101.24.00	88.19.00
FBgn0000166	0	2536.14.00	3313.01.00	0	0	1986.57.00	0	0	6939.05.00	0	0	0
FBgn0000173	284.18.00	246.38.00	343.59.00	288.58.00	287.51.00	332.41.00	339.29.00	108.36.00	342.37.00	381.37.00	139.02.00	370.44.00
FBgn0000179	973.44.00	7.48	1037.44.00	107.03.00	1043.43.00	16.41	69.07.00	1111.02.00	279.54.00	193.51.00	539.22.00	22.06
FBgn0000180	30.09.00	755.25.00	226.37.00	198.05.00	1663.11.00	67.03.00	42.28.00	9725.19.00	197.44.00	152.14.00	9091.22.00	164.03.00
FBgn0000181	1261.7	409.15.00	1009.38.00	1157.16.00	335.44.00	1058.12.00	1554.18.00	270.31.00	1308.37.00	1824.3	348.25.00	1394.8
FBgn0000182	5994.53.00	1804.43.00	5020.46.00	2797.11.00	4274.04.00	8776.47.00	11759.29.00	521.55.00	3081.45.00	0	3622.16.00	2015.48.00
FBgn0000183	25.48.00	158.02.00	145.33.00	79.23.00	93.31.00	97.35.00	78.39.00	90.02.00	77.21.00	101.39.00	52.45.00	93.16.00
FBgn0000206	299.07.00	82.13.00	598.04.00	493.42.00	335.48.00	863.05.00	4302.58.00	114.31.00	44.52.00	2708.52.00	16300.31.00	14791.43.00
FBgn0000210	207.26.00	5046.48.00	343.18.00	168.18.00	4306.33.00	214.42.00	152.14.00	2718.22.00	182.48.00	253.36.00	2376.41.00	107.47.00
FBgn0000212	156.11.00	1407.23.00	129.06.00	202.58.00	1249.48.00	102.44.00	71.46.00	871.37.00	102.39.00	245.22.00	713.37.00	115.29.00
FBgn0000216	16.46	0	93.55.00	91.37.00	0	134.45.00	33.33.00	2434.26.00	90.41.00	176.23.00	0	681.07.00
FBgn0000221	30.05.00	91.59.00	628.32.00	77.17.00	696.49.00	552.17.00	1323.11.00	98.02.00	1181.42.00	1452.52.00	246.36.00	147.02.00
FBgn0000227	0	0	0	16351.05.00	0	0	0	0	0	0	0	0
FBgn0000228	1273.59.00	702.41.00	87.22.00	56.56.00	95.46.00	21.09	27.39.00	1073.08.00	1091.35.00	47.58.00	242.32.00	165.47.00
