geneName	AL3.1,AL3.2	ALP.1,ALP.2	AWP.1,AWP.2	EL3.1,EL3.2	ELP.1,ELP.2	EWP.1,EWP.2	LL3.1,LL3.2	LLP.1,LLP.2	LWP.1,LWP.2	WL3.1,WL3.2	WLP.1,WLP.2	WWP.1,WWP.2
FBgn0035724	12075.01.00	1104.07.00	36.15.00	247.43.00	983.14.00	3.09	184.23.00	2651.42.00	14280.47.00	5021.41.00	6479.55.00	6476.45.00
FBgn0035725	39.19.00	18.13	21.19	152.27.00	26.59.00	49.39.00	69.11.00	1359.28.00	181.33.00	158.01.00	1122.46.00	16.39
FBgn0035726	151.05.00	52.45.00	210.46.00	181.18.00	109.18.00	187.22.00	154.21.00	97.17.00	68.18.00	139.57.00	134.53.00	190.37.00
FBgn0035727	203.33.00	13659.34.00	108.09.00	1708.44.00	1896.08.00	5497.11.00	3736.34.00	5467.47.00	10293.15.00	12758.33.00	5639.05.00	1852.31.00
FBgn0035730	1168.17.00	801.45.00	74.57.00	947.16.00	841.01.00	1890.53.00	0	5530.46.00	12535.08.00	0	0	8469.57.00
FBgn0035733	2072.06.00	649.42.00	2132.45.00	5603.57.00	1334.48.00	7423.05.00	6412.26.00	294.16.00	0	0	13807.37.00	2740.44.00
FBgn0035734	1826.17.00	4802.17.00	0	11718.56.00	65.52.00	0	7951.19.00	0	2345.45.00	0	2329.21.00	0
FBgn0035735	0	8461.15.00	0	0	9651.26.00	0	0	206.06.00	0	0	3842.38.00	0
FBgn0035736	2108.45.00	2011.17.00	1783.53.00	0	7241.37.00	0	0	0	10873.46.00	0	0	0
FBgn0035737	131.19.00	8747.35.00	918.15.00	11059.42.00	4151.03.00	627.39.00	61.01.00	5630.43.00	34.14.00	199.32.00	15039.41.00	128.53.00
FBgn0035741	11038.05.00	90.48.00	2204.17.00	2284.15.00	524.54.00	34.35.00	8692.43.00	5533.19.00	2724.42.00	4056.44.00	6729.12.00	14435.55.00
FBgn0035742	0	0	2871.01.00	0	0	2671.26.00	0	0	0	1850.27.00	0	0
FBgn0035743	630.06.00	877.28.00	2153.15.00	3485.39.00	7753.54.00	4699.42.00	2245.43.00	54.37.00	2791.53.00	1270.48.00	10689.07.00	887.37.00
FBgn0035750	0	1770.35.00	2427.44.00	0	367.03.00	9189.35.00	0	9345.41.00	0	0	0	0
FBgn0035751	1122.18.00	5671.27.00	1196.56.00	782.47.00	413.34.00	1037.52.00	1083.06.00	16262.44.00	238.41.00	2721.01.00	2679.29.00	278.36.00
FBgn0035753	2770.44.00	742.42.00	2952.47.00	3085.11.00	783.24.00	2437.59.00	3106.43.00	1175.1	2564.37.00	3121.5	593.56.00	2982.8
FBgn0035754	123.11.00	68.07.00	136.52.00	39.14.00	1404.13.00	181.14.00	177.07.00	1337.19.00	32.41.00	120.24.00	1159.31.00	38.05.00
FBgn0035755	178.28.00	214.22.00	187.07.00	182.58.00	68.26.00	132.25.00	162.04.00	126.02.00	92.16.00	136.51.00	183.01.00	201.07.00
FBgn0035756	5097.21.00	754.32.00	5640.57.00	821.56.00	8191.43.00	7113.38.00	316.43.00	8882.28.00	2969.39.00	2079.41.00	12154.37.00	0
FBgn0035760	172.51.00	508.51.00	494.49.00	1379.35.00	187.42.00	1336.14.00	338.21.00	887.37.00	430.56.00	1499.17.00	871.11.00	259.07.00
FBgn0035761	39.11.00	93.12.00	30.16.00	174.31.00	5219.57.00	28.57.00	60.41.00	2169.14.00	42.56.00	226.35.00	433.52.00	38.32.00
FBgn0035762	118.35.00	1594.48.00	28.14.00	43.14.00	80.07.00	97.06.00	172.32.00	1076.39.00	71.21.00	110.47.00	1517.34.00	178.29.00
FBgn0035763	139.54.00	114.08.00	127.14.00	102.43.00	114.11.00	166.54.00	41.37.00	200.45.00	193.11.00	167.43.00	184.06.00	87.38.00
FBgn0035766	17.54	192.13.00	25.45.00	30.41.00	934.05.00	17.56	115.25.00	1587.28.00	36.16.00	35.38.00	186.51.00	99.22.00
FBgn0035767	169.42.00	19.08	56.38.00	99.16.00	46.59.00	70.19.00	167.43.00	22.55	98.15.00	151.55.00	83.54.00	140.39.00
FBgn0035768	1131.26.00	868.16.00	1042.08.00	1380.22.00	128.25.00	1147.09.00	1178.19.00	19.59	74.18.00	79.23.00	15506.02.00	1153.38.00
FBgn0035769	16.13	1523.18.00	172.34.00	166.15.00	1202.41.00	113.46.00	33.52.00	62.39.00	77.58.00	112.51.00	34.26.00	28.52.00
FBgn0035770	148.13.00	106.25.00	131.03.00	205.16.00	118.35.00	169.24.00	109.25.00	53.17.00	65.55.00	178.35.00	64.29.00	126.58.00
FBgn0035771	144.53.00	34.44.00	166.32.00	230.18.00	75.56.00	131.58.00	189.21.00	36.17.00	112.35.00	118.44.00	152.49.00	116.17.00
FBgn0035772	249.36.00	174.13.00	394.06.00	261.42.00	208.31.00	373.29.00	332.43.00	168.21.00	342.42.00	309.27.00	132.24.00	381.46.00
FBgn0035776	1959.56.00	1272.52.00	87.51.00	316.21.00	9116.45.00	8310.45.00	4117.17.00	10347.34.00	25.15.00	0	1008.32.00	2284.47.00
FBgn0035777	82.12.00	1407.48.00	15899.12.00	1296.39.00	736.27.00	1098.04.00	455.14.00	15833.19.00	1046.59.00	14195.25.00	598.08.00	347.54.00
FBgn0035779	2158.54.00	8.24	13320.44.00	305.52.00	6630.41.00	45.17.00	284.33.00	13210.55.00	5533.23.00	1249.31.00	0	1848.48.00
FBgn0035780	8558.45.00	4535.43.00	10544.21.00	486.34.00	3052.46.00	2340.34.00	5016.16.00	5828.57.00	0	0	2071.43.00	7947.46.00
FBgn0035781	2690.05.00	103.37.00	1023.19.00	0	888.39.00	15496.16.00	0	912.02.00	564.32.00	239.01.00	1566.54.00	12564.22.00
FBgn0035782	2427.48.00	523.43.00	150.55.00	6543.13.00	2990.49.00	149.45.00	0	8890.05.00	127.03.00	0	2017.33.00	1516.41.00
FBgn0035785	3005.34.00	261.51.00	14243.24.00	3603.15.00	2171.18.00	1306.49.00	13696.35.00	6823.05.00	0	0	4325.26.00	0
FBgn0035786	12702.35.00	4330.54.00	573.54.00	0	5624.29.00	0	0	1533.49.00	6549.39.00	0	4810.29.00	2848.39.00
FBgn0035787	0	2146.36.00	0	0	0	0	0	0	0	0	0	0
FBgn0035788	0	1409.04.00	5526.27.00	1772.23.00	5112.42.00	8548.57.00	4591.29.00	9737.06.00	3424.47.00	0	1342.41.00	0
FBgn0035789	144.39.00	11419.45.00	2439.48.00	278.36.00	5689.21.00	4548.32.00	1359.04.00	3981.45.00	995.54.00	2211.12.00	2493.22.00	0
FBgn0035790	0	0	4514.42.00	2108.19.00	3999.26.00	6971.16.00	0	0	1415.17.00	0	9878.55.00	0
FBgn0035791	2644.38.00	346.28.00	1081.08.00	7425.56.00	475.13.00	1297.49.00	10952.49.00	1390.05.00	10280.29.00	2236.18.00	381.21.00	6307.38.00
FBgn0035792	0	269.47.00	0	389.03.00	1441.58.00	16592.06.00	0	13794.52.00	0	0	11332.32.00	0
FBgn0035793	95.09.00	1309.48.00	141.43.00	109.07.00	81.21.00	107.25.00	189.49.00	848.51.00	57.24.00	66.41.00	23.36	62.53.00
FBgn0035795	0	1396.48.00	0	0	0	3264.28.00	0	0	0	0	0	5982.45.00
FBgn0035797	0	20.55	5965.45.00	21.22	37.57.00	0	0	113.31.00	7322.53.00	13241.05.00	336.04.00	0
FBgn0035798	3203.51.00	58.13.00	2035.18.00	0	876.41.00	371.19.00	208.04.00	89.08.00	8234.12.00	3199.27.00	5.07	10196.28.00
FBgn0035799	15298.55.00	11809.33.00	2145.29.00	2772.19.00	15231.22.00	1378.53.00	0	13686.58.00	5659.09.00	0	11498.12.00	0
FBgn0035800	6662.56.00	9044.07.00	750.32.00	7173.21.00	2255.47.00	10757.55.00	0	6174.33.00	362.48.00	0	2427.03.00	3842.24.00
FBgn0035802	86.14.00	68.47.00	30.35.00	55.16.00	89.54.00	39.09.00	185.13.00	191.03.00	82.32.00	41.34.00	44.09.00	32.45.00
FBgn0035805	85.46.00	42.44.00	115.28.00	186.29.00	143.37.00	71.55.00	196.38.00	53.03.00	149.32.00	46.01.00	149.23.00	181.25.00
FBgn0035806	1378.27.00	1117.58.00	7873.14.00	882.38.00	146.57.00	14130.52.00	2116.35.00	48.01.00	754.38.00	5893.51.00	519.25.00	3867.42.00
FBgn0035807	115.31.00	72.53.00	162.32.00	153.51.00	140.04.00	119.34.00	136.57.00	23.32	87.43.00	104.51.00	37.22.00	122.04.00
FBgn0035811	116.13.00	204.05.00	223.43.00	126.58.00	153.05.00	141.28.00	169.02.00	94.23.00	150.09.00	230.44.00	112.17.00	173.08.00
FBgn0035812	549.19.00	423.54.00	626.19.00	1306.49.00	476.27.00	1111.38.00	1240.34.00	12187.42.00	1409.38.00	264.08.00	175.26.00	1053.13.00
FBgn0035813	4757.18.00	12889.24.00	1718.43.00	4322.29.00	1101.44.00	10973.29.00	5124.21.00	2704.37.00	32.14.00	247.25.00	209.46.00	2892.44.00
FBgn0035815	11717.56.00	839.24.00	865.43.00	5.03	205.37.00	414.26.00	3665.37.00	1567.27.00	9865.02.00	870.45.00	797.24.00	706.11.00
FBgn0035816	4801.29.00	75.42.00	5261.43.00	10244.04.00	111.02.00	5792.28.00	5305.33.00	39.22.00	2314.01.00	12338.48.00	1453.17.00	7866.59.00
FBgn0035817	9871.18.00	1171.32.00	4105.47.00	9329.24.00	516.16.00	5934.19.00	825.29.00	188.14.00	1935.17.00	492.56.00	81.25.00	6475.49.00
FBgn0035823	12391.18.00	12203.35.00	13192.11.00	0	5571.03.00	3068.23.00	0	4880.51.00	220.19.00	3794.26.00	2835.54.00	12882.06.00
FBgn0035824	177.17.00	951.28.00	81.52.00	904.53.00	168.35.00	96.13.00	55.03.00	112.49.00	526.37.00	169.21.00	283.04.00	90.18.00
FBgn0035825	39.35.00	102.29.00	122.41.00	132.38.00	84.09.00	43.09.00	38.13.00	100.11.00	29.59.00	112.13.00	111.03.00	41.43.00
FBgn0035827	131.59.00	115.51.00	169.35.00	111.35.00	122.37.00	152.13.00	129.38.00	87.51.00	166.17.00	166.41.00	217.38.00	173.33.00
FBgn0035829	145.07.00	249.33.00	118.07.00	148.45.00	120.15.00	124.11.00	176.12.00	77.54.00	139.41.00	139.22.00	139.51.00	139.27.00
FBgn0035830	109.51.00	53.39.00	139.54.00	133.07.00	64.12.00	134.07.00	199.04.00	38.35.00	175.55.00	189.16.00	74.21.00	182.03.00
FBgn0035831	90.27.00	216.19.00	171.06.00	186.35.00	1268.16.00	146.11.00	112.41.00	137.19.00	47.37.00	95.15.00	760.26.00	174.19.00
FBgn0035833	297.12.00	408.18.00	987.44.00	1319.33.00	143.23.00	131.46.00	1630.57.00	358.14.00	29.26.00	1077.15.00	16563.09.00	21.45
FBgn0035838	90.11.00	1217.02.00	610.55.00	1079.33.00	15394.02.00	37.05.00	100.13.00	11012.09.00	271.51.00	153.55.00	10853.48.00	72.59.00
FBgn0035839	13.33	1655.13.00	642.43.00	1161.35.00	82.59.00	103.59.00	1215.13.00	1156.03.00	958.56.00	119.38.00	1580.34.00	10.41
FBgn0035842	615.42.00	1055.25.00	1344.39.00	107.14.00	892.02.00	132.15.00	465.31.00	738.08.00	1544.39.00	1603.59.00	82.11.00	197.26.00
FBgn0035844	197.16.00	157.25.00	140.24.00	94.35.00	138.15.00	173.25.00	52.42.00	149.15.00	206.07.00	144.03.00	450.33.00	75.37.00
FBgn0035845	4320.45.00	214.29.00	2886.55.00	2636.07.00	89.24.00	3674.57.00	4721.17.00	196.24.00	1814.23.00	9873.58.00	191.34.00	10515.32.00
FBgn0035847	4989.13.00	4199.33.00	0	4932.31.00	0	11027.24.00	10055.35.00	0	0	0	2882.09.00	0
FBgn0035848	1223.11.00	397.12.00	143.09.00	1465.38.00	784.46.00	1114.56.00	1277.12.00	659.47.00	1205.46.00	22.53	543.09.00	275.41.00
FBgn0035849	1193.54.00	202.45.00	151.15.00	632.57.00	1001.38.00	1104.54.00	55.01.00	1088.42.00	1589.11.00	32.21.00	25.23.00	162.27.00
FBgn0035850	170.19.00	51.11.00	95.08.00	50.24.00	71.51.00	142.54.00	44.05.00	162.08.00	169.21.00	216.15.00	64.39.00	130.05.00
FBgn0035851	92.46.00	705.58.00	146.41.00	14.27	91.15.00	1260.02.00	61.33.00	1663.04.00	1244.54.00	139.38.00	136.46.00	835.46.00
FBgn0035852	4034.49.00	4051.42.00	16498.03.00	9643.37.00	3369.44.00	12053.23.00	1768.03.00	10809.03.00	9983.45.00	0	941.44.00	6086.49.00
FBgn0035853	193.02.00	179.09.00	105.12.00	90.46.00	161.01.00	109.25.00	138.03.00	165.51.00	112.52.00	133.02.00	86.58.00	131.14.00
FBgn0035854	14.35	556.28.00	243.59.00	1020.23.00	1533.02.00	316.35.00	175.38.00	524.37.00	1604.07.00	107.49.00	371.26.00	142.06.00
FBgn0035855	4455.03.00	233.51.00	845.17.00	16530.05.00	11486.26.00	1935.59.00	0	0	5088.38.00	5494.17.00	0	1489.03.00
FBgn0035856	6419.05.00	16520.05.00	7001.08.00	11106.35.00	1818.36.00	4612.29.00	4029.16.00	822.09.00	7509.55.00	6692.28.00	1214.24.00	4807.47.00
FBgn0035857	5835.45.00	5239.47.00	4835.45.00	2034.46.00	11287.22.00	2576.44.00	1559.56.00	11631.56.00	5750.34.00	13544.53.00	11299.45.00	16537.25.00
FBgn0035858	0	0	0	0	7183.15.00	0	0	147.47.00	0	0	0	0
FBgn0035859	13089.14.00	0	0	1710.35.00	10515.25.00	0	575.48.00	1257.05.00	5288.58.00	660.41.00	2501.46.00	9481.31.00
FBgn0035861	0	11261.13.00	8017.33.00	1703.09.00	13439.42.00	2292.21.00	0	5285.22.00	0	1766.37.00	2488.07.00	0
FBgn0035865	4871.13.00	34.43.00	9963.06.00	7074.27.00	81.25.00	14993.48.00	2091.12.00	500.27.00	4415.16.00	1157.17.00	1064.34.00	975.38.00
FBgn0035866	41.53.00	26.17.00	70.41.00	27.54.00	35.52.00	144.53.00	175.34.00	99.09.00	139.29.00	155.03.00	143.39.00	112.56.00
FBgn0035867	339.19.00	91.35.00	137.37.00	1580.15.00	675.03.00	948.54.00	25.26.00	527.53.00	403.08.00	92.15.00	51.28.00	1123.12.00
FBgn0035868	468.41.00	327.35.00	941.33.00	1455.44.00	596.01.00	895.31.00	1460.08.00	1226.02.00	1516.25.00	3.31	650.26.00	218.05.00
FBgn0035870	3379.44.00	8724.33.00	4874.03.00	3208.25.00	14018.35.00	607.07.00	2137.06.00	2657.29.00	2257.46.00	14533.15.00	2655.49.00	3158.46.00
FBgn0035871	152.11.00	304.42.00	172.36.00	170.16.00	355.16.00	229.35.00	160.33.00	200.14.00	190.32.00	163.54.00	281.23.00	188.02.00
FBgn0035872	208.29.00	21.11	122.28.00	157.33.00	97.57.00	216.22.00	139.39.00	68.47.00	136.29.00	126.15.00	86.48.00	218.31.00
FBgn0035873	2231.29.00	129.03.00	4682.18.00	12649.55.00	908.38.00	3228.39.00	3327.38.00	99.17.00	7250.48.00	0	95.29.00	0
FBgn0035875	4513.46.00	2142.05.00	10672.11.00	4402.03.00	899.59.00	2805.54.00	648.19.00	1100.33.00	5966.28.00	3330.27.00	1180.56.00	7315.51.00
FBgn0035876	374.13.00	1002.08.00	591.33.00	564.52.00	506.23.00	1191.57.00	82.51.00	764.22.00	687.05.00	85.06.00	115.41.00	1161.48.00
FBgn0035877	87.36.00	120.51.00	11.41	690.58.00	41.48.00	119.21.00	45.36.00	116.38.00	1655.36.00	91.05.00	53.56.00	1626.35.00
FBgn0035878	115.48.00	119.06.00	33.16.00	169.45.00	111.37.00	55.18.00	86.07.00	18.01	30.08.00	137.56.00	29.42.00	58.32.00
FBgn0035879	336.48.00	100.36.00	38.17.00	162.48.00	44.57.00	80.43.00	137.23.00	1418.26.00	144.19.00	53.29.00	77.53.00	753.39.00
FBgn0035880	115.01.00	792.44.00	127.11.00	143.36.00	161.18.00	191.44.00	51.41.00	1203.38.00	116.57.00	250.38.00	1304.28.00	107.45.00
FBgn0035886	42.13.00	1770.29.00	49.16.00	8856.03.00	0	13422.23.00	4841.02.00	1491.28.00	1181.37.00	319.45.00	3602.26.00	7054.35.00
FBgn0035887	4955.55.00	0	3677.47.00	0	0	0	0	6054.56.00	0	109.59.00	1683.42.00	0
FBgn0035888	2026.36.00	1186.01.00	3103.34.00	6437.26.00	1500.11.00	13599.13.00	1796.29.00	647.57.00	16298.02.00	316.28.00	929.44.00	3595.43.00
FBgn0035889	793.22.00	1404.04.00	34.38.00	18.06	869.03.00	46.03.00	22.56	1663.16.00	976.56.00	115.36.00	786.14.00	1259.41.00
FBgn0035890	928.15.00	1527.52.00	1121.37.00	18.41	453.46.00	148.58.00	755.57.00	1510.34.00	39.33.00	1011.03.00	1393.41.00	1168.22.00
FBgn0035896	94.01.00	108.17.00	195.13.00	28.48.00	118.59.00	129.28.00	156.37.00	63.44.00	77.54.00	149.28.00	81.13.00	160.27.00
FBgn0035900	638.31.00	123.23.00	267.23.00	762.48.00	378.41.00	520.49.00	141.15.00	299.41.00	746.53.00	141.38.00	1159.16.00	310.43.00
FBgn0035901	671.01.00	333.18.00	110.13.00	338.29.00	70.46.00	812.05.00	136.28.00	16182.52.00	1586.02.00	176.47.00	1637.19.00	602.03.00
FBgn0035902	521.58.00	103.32.00	92.38.00	48.51.00	516.29.00	1214.48.00	1389.28.00	1159.35.00	755.26.00	167.53.00	994.27.00	903.28.00
FBgn0035903	6064.45.00	641.24.00	14540.33.00	752.06.00	14.47	203.38.00	4567.55.00	5137.13.00	4929.19.00	3012.14.00	4492.55.00	4449.19.00
FBgn0035904	287.26.00	202.56.00	389.54.00	258.53.00	160.15.00	317.38.00	255.02.00	165.52.00	380.24.00	356.17.00	336.49.00	447.01.00
FBgn0035906	150.17.00	158.14.00	203.39.00	140.35.00	221.57.00	157.51.00	207.46.00	63.31.00	186.16.00	211.38.00	74.41.00	240.29.00
FBgn0035907	92.54.00	65.36.00	165.23.00	154.41.00	186.34.00	74.12.00	36.52.00	135.29.00	87.13.00	127.56.00	173.52.00	109.47.00
FBgn0035909	149.55.00	98.28.00	313.59.00	114.29.00	60.04.00	228.54.00	139.52.00	132.11.00	221.11.00	186.01.00	66.56.00	215.41.00
FBgn0035911	80.23.00	146.47.00	110.32.00	15.57	87.02.00	143.08.00	126.29.00	85.11.00	45.28.00	160.48.00	84.26.00	60.58.00
FBgn0035914	3908.48.00	13599.32.00	387.46.00	8510.37.00	658.28.00	11784.41.00	40.04.00	5288.37.00	1911.41.00	7710.36.00	9069.57.00	1864.15.00
FBgn0035915	12.01	131.09.00	596.13.00	15113.45.00	382.23.00	934.11.00	1077.45.00	14223.45.00	143.55.00	0	545.08.00	658.19.00
FBgn0035916	64.12.00	35.17.00	24.58.00	172.07.00	119.09.00	90.16.00	140.25.00	150.58.00	30.43.00	48.01.00	59.54.00	71.25.00
FBgn0035917	1608.33.00	318.44.00	1216.25.00	930.51.00	157.37.00	9445.59.00	1604.48.00	499.01.00	483.08.00	5399.17.00	1133.08.00	7392.53.00
FBgn0035918	116.34.00	876.08.00	593.52.00	1639.32.00	7816.26.00	73.21.00	1177.14.00	4912.42.00	1175.51.00	16.52	6617.29.00	1424.17.00
FBgn0035921	2819.42.00	95.34.00	16510.03.00	4550.22.00	8094.58.00	392.45.00	246.55.00	7500.45.00	209.26.00	8607.35.00	7517.28.00	13445.49.00
FBgn0035922	8168.07.00	5404.08.00	12496.15.00	4382.43.00	7827.18.00	5288.47.00	0	2606.38.00	2850.22.00	789.25.00	185.14.00	2609.22.00
FBgn0035923	277.32.00	551.03.00	1127.02.00	1019.51.00	1507.27.00	151.08.00	1421.28.00	1619.27.00	1486.13.00	774.41.00	1280.53.00	632.07.00
FBgn0035924	1730.15.00	4249.44.00	5994.15.00	0	7104.03.00	934.13.00	0	8611.25.00	4404.09.00	0	0	4512.18.00
FBgn0035926	3475.56.00	8843.35.00	0	0	12737.05.00	0	0	5371.36.00	6402.47.00	0	9618.48.00	0
FBgn0035928	0	8682.18.00	0	0	0	5477.26.00	4035.53.00	1346.25.00	15085.55.00	0	1500.48.00	0
FBgn0035929	4631.18.00	0	0	0	0	0	0	0	0	0	0	3341.19.00
FBgn0035931	6545.13.00	3758.16.00	3329.03.00	0	1775.41.00	0	0	0	0	12273.14.00	0	5947.36.00
FBgn0035932	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0035933	283.03.00	0	4799.21.00	3257.31.00	0	3815.16.00	0	0	14489.08.00	9225.58.00	0	6676.08.00
FBgn0035934	2708.51.00	13022.44.00	4779.05.00	633.57.00	3909.11.00	1536.44.00	1968.32.00	4663.21.00	0	1385.31.00	1842.29.00	4235.12.00
FBgn0035936	146.23.00	156.25.00	147.38.00	127.02.00	183.48.00	167.52.00	156.15.00	117.18.00	217.46.00	52.01.00	669.27.00	127.27.00
FBgn0035941	2052.15.00	963.22.00	3590.11.00	2869.11.00	837.51.00	2574.42.00	736.21.00	13005.07.00	1192.12.00	0	206.14.00	852.22.00
FBgn0035942	67.18.00	1160.27.00	382.44.00	1585.11.00	152.18.00	1081.27.00	1389.22.00	1032.42.00	141.49.00	1150.37.00	14747.08.00	122.49.00
FBgn0035943	896.06.00	63.17.00	1579.55.00	187.43.00	410.49.00	171.08.00	0	3514.25.00	7599.04.00	0	6011.07.00	5582.04.00
FBgn0035944	158.14.00	48.34.00	161.29.00	77.57.00	101.28.00	75.07.00	176.55.00	39.39.00	196.36.00	59.07.00	112.23.00	164.27.00
FBgn0035945	33.27.00	235.58.00	93.58.00	183.01.00	1119.36.00	104.23.00	123.24.00	1279.49.00	30.04.00	71.05.00	1528.52.00	124.44.00
FBgn0035947	137.38.00	70.23.00	131.16.00	133.46.00	185.31.00	159.27.00	188.31.00	173.42.00	179.19.00	222.37.00	126.03.00	186.56.00
FBgn0035948	1742.53.00	15569.25.00	356.46.00	5740.37.00	1183.51.00	6278.37.00	8276.17.00	2133.45.00	15181.15.00	1665.41.00	1849.22.00	2191.38.00
FBgn0035949	16122.04.00	561.22.00	4121.23.00	5033.08.00	565.33.00	7140.06.00	849.26.00	51.26.00	5020.45.00	2153.37.00	1278.26.00	15293.25.00
FBgn0035951	65.18.00	120.23.00	26.53.00	70.24.00	67.34.00	38.26.00	172.58.00	19.13	174.19.00	79.43.00	69.04.00	158.59.00
FBgn0035952	8089.19.00	181.58.00	1525.25.00	80.01.00	3933.33.00	246.46.00	10140.07.00	23.42	635.43.00	4658.49.00	7258.52.00	11120.34.00
FBgn0035953	1268.02.00	1537.19.00	307.07.00	1294.33.00	1054.57.00	561.32.00	283.25.00	1628.44.00	1541.03.00	103.13.00	1612.42.00	82.54.00
FBgn0035954	913.44.00	11676.37.00	47.09.00	15.24	7077.22.00	591.29.00	1385.05.00	9312.09.00	50.07.00	108.25.00	1449.55.00	97.36.00
FBgn0035955	3711.45.00	9750.45.00	7599.38.00	7999.12.00	1196.09.00	9332.27.00	16440.14.00	1967.38.00	3721.44.00	2263.46.00	9692.55.00	3421.29.00
FBgn0035956	14.32	2233.45.00	37.37.00	143.12.00	7343.56.00	220.14.00	981.38.00	5132.04.00	78.24.00	113.46.00	1463.39.00	19.03
FBgn0035957	7525.56.00	166.17.00	11451.04.00	1416.55.00	15.24	2170.05.00	6567.16.00	13841.27.00	7935.46.00	766.08.00	10570.53.00	3372.23.00
FBgn0035959	552.49.00	184.26.00	26.24.00	25.59.00	48.57.00	89.04.00	90.48.00	160.18.00	1581.54.00	144.07.00	101.58.00	150.36.00
FBgn0035960	731.14.00	271.46.00	242.14.00	52.43.00	859.35.00	1273.29.00	1011.19.00	448.35.00	1578.52.00	222.34.00	426.32.00	1143.13.00
FBgn0035964	89.07.00	210.05.00	87.34.00	226.57.00	194.01.00	243.47.00	85.04.00	188.32.00	142.02.00	120.36.00	206.18.00	95.27.00
FBgn0035965	52.43.00	180.32.00	19.55	82.27.00	51.57.00	135.41.00	132.58.00	1109.01.00	19.47	143.03.00	73.55.00	92.47.00
FBgn0035968	446.13.00	132.05.00	15373.17.00	6157.08.00	163.15.00	10976.26.00	978.44.00	50.45.00	193.16.00	185.11.00	141.52.00	2252.03.00
FBgn0035969	448.14.00	287.15.00	10355.35.00	707.09.00	21.34	11904.39.00	0	42.38.00	0	0	234.05.00	4651.21.00
FBgn0035970	0	193.32.00	1758.54.00	0	15043.05.00	5278.06.00	0	0	0	0	0	0
FBgn0035971	2165.35.00	2064.46.00	16490.35.00	0	0	0	0	0	4085.52.00	0	0	0
FBgn0035975	111.06.00	137.16.00	1338.55.00	700.53.00	111.22.00	1097.39.00	126.27.00	92.32.00	269.39.00	14033.11.00	124.34.00	803.51.00
FBgn0035976	465.54.00	108.24.00	34.08.00	142.14.00	119.43.00	51.21.00	1019.33.00	93.07.00	1558.09.00	1060.32.00	79.04.00	1598.56.00
FBgn0035977	156.05.00	19.31	655.38.00	866.56.00	62.16.00	829.35.00	1421.26.00	1250.14.00	912.43.00	5097.08.00	31.15.00	428.18.00
FBgn0035978	149.28.00	49.29.00	107.28.00	66.42.00	177.01.00	128.25.00	139.04.00	161.23.00	129.36.00	82.35.00	149.38.00	155.43.00
FBgn0035980	1263.45.00	1228.44.00	1212.14.00	1374.25.00	35.14.00	1232.31.00	61.56.00	136.27.00	174.36.00	24.46.00	265.09.00	62.32.00
FBgn0035981	116.04.00	169.07.00	125.55.00	134.51.00	107.03.00	44.29.00	197.27.00	123.32.00	115.02.00	53.39.00	101.09.00	89.34.00
FBgn0035982	8561.55.00	1251.45.00	2899.15.00	51.52.00	6939.14.00	3021.58.00	5682.03.00	90.42.00	8632.55.00	0	456.03.00	9276.43.00
FBgn0035983	1495.08.00	389.05.00	117.05.00	148.17.00	1235.47.00	132.06.00	67.24.00	1432.18.00	58.25.00	60.32.00	629.53.00	83.36.00
FBgn0035985	150.54.00	313.44.00	311.43.00	12732.23.00	839.47.00	11022.57.00	1448.34.00	278.53.00	12251.18.00	96.49.00	183.33.00	86.39.00
FBgn0035986	104.01.00	92.41.00	34.15.00	77.25.00	111.47.00	94.38.00	52.34.00	132.19.00	92.51.00	196.22.00	141.28.00	77.23.00
FBgn0035987	169.57.00	184.08.00	107.07.00	122.25.00	156.45.00	123.48.00	122.43.00	170.12.00	105.22.00	137.25.00	34.41.00	114.05.00
FBgn0035988	3482.29.00	505.19.00	819.05.00	2278.26.00	13609.53.00	9509.08.00	1943.17.00	8144.05.00	1494.56.00	339.53.00	3232.52.00	2160.55.00
FBgn0035989	442.05.00	111.47.00	48.49.00	146.29.00	198.33.00	146.16.00	162.56.00	65.06.00	141.49.00	121.11.00	55.27.00	117.51.00
FBgn0035993	136.34.00	90.47.00	85.02.00	183.54.00	41.21.00	33.51.00	93.16.00	1386.38.00	115.53.00	47.52.00	547.04.00	185.38.00
FBgn0035995	156.12.00	165.41.00	125.49.00	137.59.00	62.41.00	24.52.00	82.54.00	25.37.00	94.29.00	97.51.00	38.23.00	124.52.00
FBgn0035996	495.04.00	542.27.00	304.35.00	474.33.00	1109.14.00	1179.26.00	376.41.00	891.46.00	389.58.00	84.18.00	578.46.00	1100.46.00
FBgn0035997	10.25	1565.55.00	152.24.00	108.57.00	276.17.00	125.04.00	54.29.00	179.58.00	99.31.00	154.45.00	1089.03.00	81.46.00
FBgn0035998	167.35.00	82.55.00	181.44.00	19.37	137.59.00	173.16.00	46.08.00	1353.35.00	27.08.00	78.45.00	143.04.00	148.35.00
FBgn0035999	1089.52.00	518.18.00	1202.15.00	919.54.00	92.38.00	18.29	982.52.00	1431.39.00	252.42.00	1421.19.00	1336.59.00	858.12.00
FBgn0036000	172.07.00	16.36	453.34.00	15.08	177.35.00	124.36.00	138.49.00	383.36.00	1388.44.00	34.37.00	1484.33.00	148.27.00
